Unnamed: 0.1,Unnamed: 0,Column1,scope,title,manual_keywords,generated_keywords,name,description,title_en,description_en
0,0,0,openSAP,Introduction to ABAP in the Cloud,ABAP Development;ABAP Environment;SAP Cloud Solutions;System Demonstrations;SAP Business Technology Platform;SAP BTP;ABAP RESTful,Cloud Computing;SAP BTP;ABAP Programming;Application Development;Cloud-Based Development;Programming Tools;Development Environment;Cloud Technology;Business Platform;Custom Applications,Introduction to ABAP in the Cloud,"<p>Join this online course to get an overview of SAP BTP, ABAP environment and understand the various aspects of application development in the cloud. You’ll also get a quick view on how to leverage existing ABAP know-how with the latest development toolset to develop custom ABAP applications and extensions.</p>",Introduction to ABAP in the Cloud,"<p>Join this online course to get an overview of SAP BTP, ABAP environment and understand the various aspects of application development in the cloud. You’ll also get a quick view on how to leverage existing ABAP know-how with the latest development toolset to develop custom ABAP applications and extensions.</p>"
1,1,1,openSAP,Exploring the World of AI,Symbolic AI;Playful;teacher_material;Intelligent Enterprise;Intelligent Technologies;Digital Transformation;Artificial Intelligence;meet and code;Machine Learning;Game;Healthcare Landscape;AI,Artificial Intelligence;Machine Learning;Online Course;Free Learning;Introduction;Technology;Computer Science;Innovation;Education;Fun Learning Experience,Exploring the World of AI,"<p>Join this free online course to learn about artificial intelligence (AI) and explore different types of machine learning. In a playful way, discover the fascinating world of AI.  </p>",Exploring the World of AI,"<p>Join this free online course to learn about artificial intelligence (AI) and explore different types of machine learning. In a playful way, discover the fascinating world of AI.  </p>"
2,2,2,openSAP,What Can Blockchain Do for You?,Digital Identities;Blockchain;10years;Intelligent Enterprise Applications;Intelligent Enterprise;Tokens;Financial World;Intelligent Applications;Digital Innovation Path;Digital Transformation;Digital Transformation Journey;Decentralized Applications;Crypto-currencies,Blockchain;Technology;Online Course;Learning Resource;Use Cases;Demos;How It Works;Benefits;Applications;Industry Solutions,What Can Blockchain Do for You?,<p>Join this free online course to learn everything you need to know about blockchain. The course includes use case examples and demos for you to get a deeper understanding of how blockchain works and how you can benefit from it.</p>,What Can Blockchain Do for You?,<p>Join this free online course to learn everything you need to know about blockchain. The course includes use case examples and demos for you to get a deeper understanding of how blockchain works and how you can benefit from it.</p>
3,3,3,openSAP,Building Applications on SAP BTP with Microsoft Services,Extension Scenarios;Hands-on Programming Exercises;Hands-on Exercises;SAP Cloud Platform Workflows;Power Automate;Azure Services;SAP Cloud Platform;SAP Business Technology Platform;SAP Processes;Microsoft Azure;Integration;Data-to-Value Scenarios;SAP BTP;ABAP;Microsoft Teams;Extending;Node.js;MS Office Data;Java;Integration Scenarios;Collaboration Scenarios,Cloud Computing;Business Applications;SAP BTP;Microsoft Azure;Integration;Extensibility;Data-to-Value;Cloud Development;Business Technology;Enterprise Software,Building Applications on SAP BTP with Microsoft Services,"<p>Join this free online course to learn how SAP and Microsoft work together to help customers and partners build business applications on SAP Business Technology Platform enriched with Azure capabilities. You’ll be guided through technical capabilities and practical examples covering integration, extensibility, and data-to-value use cases, which will give you a solid starting point to develop business applications in the cloud.</p>",Building Applications on SAP BTP with Microsoft Services,"<p>Join this free online course to learn how SAP and Microsoft work together to help customers and partners build business applications on SAP Business Technology Platform enriched with Azure capabilities. You’ll be guided through technical capabilities and practical examples covering integration, extensibility, and data-to-value use cases, which will give you a solid starting point to develop business applications in the cloud.</p>"
4,4,4,openSAP,Be Visual! Sketching Basics for IT Business (Edition Q4/2022),Hands-on Exercises;Visual Presentation;Writing;Flow Chart;Storyboard;Visual Communication;Sketching Exercises;European Union Pact for Skills;ForUsGirls,Sketching;IT Business;Visual Presentations;Online Course;Free Resource;Practical Tips;Confidence Building;Idea Presentation;Visual Communication;Basics of Sketching,Be Visual! Sketching Basics for IT Business (Edition Q4/2022),"<p>Join this free, online openSAP course ‘Be Visual! Sketching Basic for IT Business’ and start learning the very basics of sketching. By applying the practice-oriented tips and tricks in this course, you’ll gain the confidence to present your ideas visually.</p>",Be Visual! Sketching Basics for IT Business (Edition Q4/2022),"<p>Join this free, online openSAP course ‘Be Visual! Sketching Basic for IT Business’ and start learning the very basics of sketching. By applying the practice-oriented tips and tricks in this course, you’ll gain the confidence to present your ideas visually.</p>"
5,5,5,openSAP,Prepare for Your SAP Business ByDesign Certification – Application Associate,Certification Exam;SAP Certified Application Associate;European Union Pact for Skills;SAP Business ByDesign Certification;C_BYD01_1811,Certification;SAP Business ByDesign;Exam Prep;Online Course;Free Resource;SAP Certification;Business Software;Associate Certification;Training and Development;Professional Development,"<p>Join this free online course to prepare for the <a title=""EXTERNAL"" target=""_blank"" rel=""noopener"" href=""https://training.sap.com/certification/c_byd01_1811-sap-certified-application-associate---sap-business-bydesign-g/#_blank"">SAP Certified Application Associate – SAP Business ByDesign exam</a>. You’ll learn how the exam works and the topic areas that will be tested. We recommend that you complete five openSAP courses and topics from the Help documentation to gain the knowledge you need to pass the certification exam.</p>",,Prepare for Your SAP Business ByDesign Certification – Application Associate,
6,6,6,openSAP,Localization Toolkit for SAP Business ByDesign,Custom Electronic File;Translations;Tax Reporting;SME;Cloud ERP;Taxes;SAP Business ByDesign;Administration;Small and Medium-Sized Enterprise;Language Translation Tool;Tax Calculation;SMB;Localization Toolkit;Localization;Extensions;European Union Pact for Skills ,SAP Business ByDesign;Localization Toolkit;Business Operations;Compliance;Country-Specific;Region-Specific;Customization;Configuration;Business Needs;Globalization,Localization Toolkit for SAP Business ByDesign,<p>Join this free online course to learn how the localization toolkit for SAP Business ByDesign can help you meet your country/region-specific business needs. </p>,Localization Toolkit for SAP Business ByDesign,<p>Join this free online course to learn how the localization toolkit for SAP Business ByDesign can help you meet your country/region-specific business needs. </p>
7,7,7,openSAP,SAP Business ByDesign Administration,Task Management;Information Management;Data Protection;Migration;SME;Cloud ERP;SAP Business ByDesign;System Administration;Small and Medium-Sized Enterprise;SMB;Business Flexibility,SAP Business ByDesign;Administration;Organizational Structure;Customization;Data Management;Importing;Exporting;Software Solution;Online Course;Business Management,SAP Business ByDesign Administration,"<p>Join this free online course to learn how to manage SAP Business ByDesign, including setting up an organizational structure, extending the solution, and importing or exporting data from SAP Business ByDesign.</p>",SAP Business ByDesign Administration,"<p>Join this free online course to learn how to manage SAP Business ByDesign, including setting up an organizational structure, extending the solution, and importing or exporting data from SAP Business ByDesign.</p>"
8,8,8,openSAP,Helping Business Thrive in a Circular Economy,Riverford;NYU Stern Center for Sustainable Business; Circular Business Models;GreenToken;Business Networks;Ellen MacArthur Foundation;Planet;Rheaply;eXXpedition;Sustainability;Lexmark;Mikebarryeco;rePATRN; Closed Loop Partners;Climate Change;Driver of Change;Social Responsibility;PYXERA Global;SAP Sustainability Management Product Portfolio;Exeter;SustainableBusiness;Queen of Raw;Circular Economy,Circular Economy;Sustainable Business;Environmental Impact;Waste Reduction;Regenerative Design;Social Well-being;Business Growth;Innovation;Recycling;Eco-Friendly Practices,Helping Business Thrive in a Circular Economy,"<p>Join this free online course to learn about the advantages of an inclusive circular economy. Discover how a circular economy can help us tackle the impact the linear economy is having on the planet, people, and modern businesses.</p>",Helping Business Thrive in a Circular Economy,"<p>Join this free online course to learn about the advantages of an inclusive circular economy. Discover how a circular economy can help us tackle the impact the linear economy is having on the planet, people, and modern businesses.</p>"
9,9,9,openSAP,Design for a Circular Economy,Riverford;NYU Stern Center for Sustainable Business;Climate; Circular Business Models;GreenToken;Business Networks;Ellen MacArthur Foundation;Planet;Rheaply;Social;eXXpedition;Sustainability;Lexmark;Mikebarryeco;rePATRN; Closed Loop Partners;PYXERA Global;Drivers of change;Exeter;SustainableBusiness;Queen of Raw;Circular Economy,Circular Economy;Sustainable Design;Environmental Sustainability;Waste Reduction;Recycling;Product Design;Eco-Friendly;Biodegradable;Reusable;Pollution Prevention,Design for a Circular Economy,<p>Join this free online course to learn about circular design and how you can create products that meet the requirements for a circular economy.</p>,Design for a Circular Economy,<p>Join this free online course to learn about circular design and how you can create products that meet the requirements for a circular economy.</p>
